UsahaID	Nama	Alamat	Southing	Easting
125	Mie Pio Pio 	"Jl. Imam Bonjol 28, Kel. Sidorejo Lor, Kec. Sidorejo, Salatiga"	-7.31525	110.49254
126	Domas	"Jl. Patimura 103 Domas, Kel. Salatiga, Kec. Sidorejo, Salatiga"	-7.3163	110.4933
127	Toko Bangunan Pangestu	"Sawahan RT 02 RW 04, Kel. Kecandran, Kec. Sidorejo, Salatiga"	-7.32855	110.47997
128	Golden Sport Club	"Jl. Diponegoro 77 C, Kel. Sidorejo Lor, Kec. Sidorejo, Salatiga"	-7.31752	110.4801
129	Toko Nano	"Jl. Imam Bonjol 28, Kel. Sidorejo Lor, Kec. Sidorejo, Salatiga"	-7.32022	110.49451
130	Brebes Mili	"Jl. Hasanudin RT 03 RW 06 Ngawen, Kel. Mangunsari, Kec. Sidomukti, Salatiga"	-7.3418	110.50179
131	Santosa Group	"Jl. Suropati 228 Togaten, Kel. Mangunsari, Kec. Sidomukti, Salatiga"	-7.33608	110.48811
132	Jarimatika Indonesia	"Jl. Margosari PR 4, Kel. Salatiga, Kec. Sidorejo, Salatiga"	-7.30928	110.49699
133	Aura Salon	"Perum Argopratiwi Krasak RT 01 RW 06, Kel. Ledok, Kec. Argomulyo, Salatiga"	-7.34285	110.50105
134	Tiga Dara Mandiri	"Jl. Tanggulayu 1 A, Kel. Gendongan, Kec. Tingkir, Salatiga"	-7.32675	110.50788
135	Kopi Babah Kacamata	"Jl. Kalinyamat 16 Rt 14 RW 02, Kel. Kutowinangun, Kec. Tingkir, Salatiga"	-7.342985	110.50205
136	CV. Purwatama	"Perum Argopratiwi Krasak RT 02 RW 06, Kel. Ledok, Kec. Argomulyo, Salatiga"	-7.32611	110.50245
137	CV. Ridho Jaya Makmur	"Jl. Osamaliki 17 F, Kel. Salatiga, Kec. Sidorejo, Salatiga"	-7.31028	110.49799
138	CV. Fortuna Prima	"Tetep RT 05 RW 03, Kel. Randuacir, Kec. Argomulyo, Salatiga"	-7.36752	110.49865
139	CV. Trust Jaya Mandiri	"Batur RT 03 RW 01, Kel. Kauman Kidul, Kec. Sidorejo, Salatiga"	-7.31582	110.49539
140	CV. Cakra	"Jl. Benoyo 15 RT 02 RW 05, Kel. Kutowinangun, Kec. Tingkir, Salatiga"	-7.343085	110.50505
141	CV. Purnama Murti Karya	"Tegalrejo Permai III/30, Kel. Tegalrejo, Kec. Argomulyo, Salatiga"	-7.36952	110.49965
142	CV. Dian Kusuma Pertiwi	"Jl. Tanjung I/102 RT 05 RW 03, Kel. Kalicacing, Kec. Sidomukti, Salatiga"	-7.33808	110.49011
143	CV. Giri Karya Mandiri	"Jl. Merdeka Selatan III/9, Kel. Sidorejo Lor, Kec. Sidorejo, Salatiga"	-7.31228	110.49999
144	CV. Tirta Abadi	"Jl. Sumantri I/8, Kel. Dukuh, Kec. Sidomukti, Salatiga"	-7.34008	110.49111
145	CV. Aradya	"Pengilon 312, Kel. Mangunsari, Kec. Sidomukti, Salatiga"	-7.34118	110.49221
146	CV. Adpada Karya	"Jl. Cerme 530, Kel. Salatiga, Kec. Sidorejo, Salatiga"	-7.3133	110.4987
147	PT. Satya Mitra Sejahtera	"Plasa Satya Mitra Sejahtera, Jl. Diponegoro 52-60, Kel. Salatiga, Kec. Sidorejo, Salatiga"	-7.31369	110.4995
148	KSU Anda	"Jl. Merak 90 RT 01 RW 14, Cabean, Kel. Mangunsari, Kec. Sidomukti, Salatiga"	-7.34228	110.49331
